City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,udachny,66.4167,112.4,3.0300000000000296,93,100,8.86,RU,1693473446
137,cabanas,22.9758,-82.9219,26.32000000000005,91,56,3.43,CU,1693473449
138,grande prairie,55.1667,-118.8027,15.100000000000023,67,75,6.69,CA,1693473451
139,puerto baquerizo moreno,-0.9,-89.6,23.939999999999998,83,15,5.88,EC,1693473454
140,pacific grove,36.6177,-121.9166,17.53000000000003,89,0,2.06,US,1693473419
141,aktau,43.65,51.2,25.32000000000005,37,0,2.19,KZ,1693473458
142,olonkinbyen,70.9221,-8.7187,5.650000000000034,77,100,3.93,SJ,1693473461
143,whangarei,-35.7317,174.3239,8.140000000000043,95,1,0.57,NZ,1693473463
144,matoury,4.8483,-52.3317,22.980000000000018,100,0,0.0,GF,1693473279
145,kalmunai,7.4167,81.8167,31.27000000000004,60,78,5.59,LK,1693473468
146,dhidhdhoo,6.8833,73.1,27.840000000000032,77,96,10.17,MV,1693473471
147,west island,-12.1568,96.8225,27.99000000000001,74,40,6.69,CC,1693473473
148,nenjiang,49.1833,125.2167,14.710000000000036,97,100,3.97,CN,1693473409
149,coquimbo,-29.9533,-71.3436,9.850000000000023,87,0,1.54,CL,1693473478
150,sandakan,5.8402,118.1179,30.82000000000005,79,20,3.09,MY,1693473481
151,tofol,5.3248,163.0078,29.170000000000016,72,85,4.35,FM,1693473484
152,saint-joseph,-21.3667,55.6167,23.390000000000043,71,85,6.25,RE,1693473487
153,uliastay,47.7417,96.8444,19.910000000000025,39,99,1.58,MN,1693473489
154,koidu,8.4167,-10.8333,25.260000000000048,75,91,0.4,SL,1693473492
155,flying fish cove,-10.4217,105.6791,25.82000000000005,78,75,4.63,CX,1693473494
156,khanty-mansiysk,61.0042,69.0019,16.060000000000002,94,40,6.0,RU,1693473496
157,i-n-salah,27.1935,2.4607,37.24000000000001,22,4,1.79,DZ,1693473499
158,petropavlovsk-kamchatsky,53.0452,158.6483,15.330000000000041,77,0,3.0,RU,1693473501
159,kapuskasing,49.4169,-82.4331,9.0,100,20,1.03,CA,1693473504
160,bandarbeyla,9.4942,50.8122,33.410000000000025,42,0,9.76,SO,1693473506
161,shantobe,52.4581,68.1839,12.860000000000014,67,93,7.11,KZ,1693473509
162,conde,-7.2597,-34.9075,23.700000000000045,94,75,1.03,BR,1693473512
163,alice springs,-23.7,133.8833,18.75,27,0,3.6,AU,1693473514
164,tongouson,5.0214,120.1328,28.75,77,9,5.3,PH,1693473517
165,lai chau,22.3997,103.4517,29.33000000000004,49,48,0.82,VN,1693473519
166,gambiran satu,-8.3939,114.1464,26.379999999999995,62,39,3.41,ID,1693473308
167,al khafji,28.4391,48.4913,36.27000000000004,39,0,5.97,SA,1693473524
